DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FI,2007,1.6,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FI,2008,3.9,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FI,2009,1.6,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FI,2010,1.7,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FI,2011,3.3,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FI,2012,3.2,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FI,2013,2.2,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FI,2014,1.2,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FI,2015,-0.2,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FI,2016,0.4,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FI,2017,0.8,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FI,2018,1.2,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FI,2019,1.1,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FI,2020,0.4,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FI,2021,2.1,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FI,2022,7.2,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FR,2000,1.8,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FR,2001,1.8,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FR,2002,1.9,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FR,2003,2.2,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FR,2004,2.3,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FR,2005,1.9,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FR,2006,1.9,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FR,2007,1.6,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FR,2008,3.2,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FR,2009,0.1,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FR,2010,1.7,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FR,2011,2.3,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FR,2012,2.2,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FR,2013,1.0,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,FR,2014,0.6,
